OrderDate,ProductCategoryName,ProductName,ProductPrice,OrderQty,CustomerEmail,CustomerCity,TotalSales
24/02/2020,Drone Kits,BYOD-100,54,1,ogottschalk7l@vinaora.com#mailto:ogottschalk7l@vinaora.com#,Minneapolis,54
01/01/2020,Drone Kits,BYOD-220,69,1,edew@nba.com#mailto:edew@nba.com#,Honolulu,69
04/03/2020,Drone Kits,BYOD-500,167,1,idurnillms@vinaora.com#mailto:idurnillms@vinaora.com#,Fresno,167
10/02/2020,Drone Kits,BYOD-400S,12995,1,aolekhovn7@webmd.com#mailto:aolekhovn7@webmd.com#,Salt Lake City,12995
01/04/2020,Drone Kits,BYOD-400S,12995,1,jhamblington1j@omniture.com#mailto:jhamblington1j@omniture.com#,Macon,12995
08/01/2020,Robot Kits,BYOR-1000,189,1,mknyvettt@spiegel.de#mailto:mknyvettt@spiegel.de#,Shawnee Mission,189
03/04/2020,Robot Kits,BYOR-3000,214,1,dleurenpk@google.com#mailto:dleurenpk@google.com#,Dallas,214
27/01/2020,eBooks,GPS Drones,1999,1,crankingmd@shareasale.com#mailto:crankingmd@shareasale.com#,Sacramento,1999
22/01/2020,Drones,DC-304 Drone,395,1,twiddicombem5@ucoz.ru#mailto:twiddicombem5@ucoz.ru#,Fort Lauderdale,395
12/02/2020,Drones,DTI-84 Drone,455,1,gsemered1u@dot.gov#mailto:gsemered1u@dot.gov#,Washington,455
13/01/2020,eBooks,Polar Robots,2399,1,lcridlonkj@sina.com.cn#mailto:lcridlonkj@sina.com.cn#,Springfield,2399
15/03/2020,eBooks,Polar Robots,2399,1,rwadelinga6@bloglovin.com#mailto:rwadelinga6@bloglovin.com#,Lexington,2399
16/02/2020,Drones,DTD-7000 Drone,450,1,nsexceyar@state.tx.us#mailto:nsexceyar@state.tx.us#,Saginaw,450
03/03/2020,Robots,MICR-23K Robot,899,1,ahardym@soup.io#mailto:ahardym@soup.io#,Madison,899
08/03/2020,Robots,RQTE-554 Robot,684,1,pleberkj@sitemeter.com#mailto:pleberkj@sitemeter.com#,Billings,684
09/03/2020,Drones,MICR-564K Drone,499,1,mtebbitk9@constantcontact.com#mailto:mtebbitk9@constantcontact.com#,Asheville,499
26/03/2020,Drones,MICR-564K Drone,499,1,lwhillock3u@woothemes.com#mailto:lwhillock3u@woothemes.com#,Detroit,499
01/02/2020,Training Videos,AI for Educators,4995,1,gmacenzy8g@constantcontact.com#mailto:gmacenzy8g@constantcontact.com#,Springfield,4995
03/04/2020,Training Videos,AI for Educators,4995,1,easkella0@eventbrite.com#mailto:easkella0@eventbrite.com#,New Orleans,4995
09/01/2020,eBooks,Cartesian Robots,1299,1,dhassencj@hp.com#mailto:dhassencj@hp.com#,Rochester,1299
25/02/2020,eBooks,Spherical Robots,1675,1,thamil87@telegraph.co.uk#mailto:thamil87@telegraph.co.uk#,Detroit,1675
06/03/2020,eBooks,Photograph Drones,1499,1,mousley1o@pcworld.com#mailto:mousley1o@pcworld.com#,Boynton Beach,1499
07/01/2020,eBooks,Articulated Robots,2399,1,nclandillon9s@huffingtonpost.com#mailto:nclandillon9s@huffingtonpost.com#,Lincoln,2399
15/03/2020,Blueprints,Cat Robot Blueprint,499,1,mpossekfo@google.nl#mailto:mpossekfo@google.nl#,Flushing,499
20/01/2020,eBooks,Single Rotor Drones,1499,1,mbodessondq@admin.ch#mailto:mbodessondq@admin.ch#,Rochester,1499
29/02/2020,eBooks,Single Rotor Drones,1499,1,abrokeqg@ihg.com#mailto:abrokeqg@ihg.com#,Los Angeles,1499
01/04/2020,eBooks,Single Rotor Drones,1499,1,bcollyal@netvibes.com#mailto:bcollyal@netvibes.com#,Pensacola,1499
18/03/2020,Blueprints,Sleepy Eye Blueprint,1199,1,asouthallg@sohu.com#mailto:asouthallg@sohu.com#,Daytona Beach,1199
22/03/2020,Blueprints,Sleepy Eye Blueprint,1199,1,yodalyoa@bing.com#mailto:yodalyoa@bing.com#,Trenton,1199
27/03/2020,Blueprints,Panda Robot Blueprint,799,1,pmcterlaghct@joomla.org#mailto:pmcterlaghct@joomla.org#,Fresno,799
24/01/2020,Training Videos,Drone Video Techniques,3799,1,sstronghillc1@google.nl#mailto:sstronghillc1@google.nl#,Midland,3799
10/03/2020,Training Videos,Drone Video Techniques,3799,1,ssouttarmb@senate.gov#mailto:ssouttarmb@senate.gov#,Austin,3799
27/01/2020,Blueprints,Bsquare Robot Blueprint,899,1,fhonatsch4p@epa.gov#mailto:fhonatsch4p@epa.gov#,Hartford,899
07/02/2020,eBooks,Building Your Own Drone,2499,1,ckobierzyckipr@sogou.com#mailto:ckobierzyckipr@sogou.com#,Atlanta,2499
23/03/2020,Blueprints,Ladybug Robot Blueprint,12,1,abentleyx@miitbeian.gov.cn#mailto:abentleyx@miitbeian.gov.cn#,Atlanta,12
02/01/2020,Training Videos,Understanding Automation,4495,1,ksteershp@ameblo.jp#mailto:ksteershp@ameblo.jp#,San Diego,4495
01/04/2020,Training Videos,Understanding Automation,4495,1,rchristoffelw@so-net.ne.jp#mailto:rchristoffelw@so-net.ne.jp#,Baltimore,4495
06/01/2020,Training Videos,Understanding 3D Printing,4299,1,aberickkg@intel.com#mailto:aberickkg@intel.com#,Atlanta,4299
24/02/2020,Training Videos,Understanding Raspberry PI,2899,1,mscutter9h@skype.com#mailto:mscutter9h@skype.com#,Newark,2899
29/03/2020,Training Videos,Understanding Drone Regulations,275,1,swestby1v@msu.edu#mailto:swestby1v@msu.edu#,Berkeley,275
25/02/2020,eBooks,Understanding Artificial Intelligence,195,1,gsemered1u@dot.gov#mailto:gsemered1u@dot.gov#,Washington,195
16/01/2020,Drone Kits,BYOD-200,5895,2,abrabyndc@dailymail.co.uk#mailto:abrabyndc@dailymail.co.uk#,Syracuse,1179
03/02/2020,Drone Kits,BYOD-200,5895,2,ggallene1@moonfruit.com#mailto:ggallene1@moonfruit.com#,San Antonio,1179
02/03/2020,Drone Kits,BYOD-200,5895,2,eblackader1@timesonline.co.uk#mailto:eblackader1@timesonline.co.uk#,Stockton,1179
06/03/2020,Drone Kits,BYOD-200,5895,2,rkeelanoc@yolasite.com#mailto:rkeelanoc@yolasite.com#,Trenton,1179
05/02/2020,Drone Kits,BYOD-300,89,2,thousecroftfp@taobao.com#mailto:thousecroftfp@taobao.com#,Cincinnati,178
05/04/2020,Drone Kits,BYOD-350,8995,2,bbartosch86@admin.ch#mailto:bbartosch86@admin.ch#,Duluth,1799
05/04/2020,Drone Kits,BYOD-400,119,2,kjonesor@addthis.com#mailto:kjonesor@addthis.com#,New York City,238
15/02/2020,Drone Kits,BYOD-500,167,2,bhargeriehi@bandcamp.com#mailto:bhargeriehi@bandcamp.com#,Phoenix,334
30/03/2020,Drone Kits,BYOD-500,167,2,crubbens6t@disqus.com#mailto:crubbens6t@disqus.com#,Houston,334
10/04/2020,Drone Kits,BYOD-500,167,2,eanfonsipu@wunderground.com#mailto:eanfonsipu@wunderground.com#,Orlando,334
04/01/2020,Drone Kits,BYOD-550,179,2,nmaven3o@go.com#mailto:nmaven3o@go.com#,Sarasota,358
14/02/2020,Drone Kits,BYOD-400S,12995,2,cswanm7@ft.com#mailto:cswanm7@ft.com#,Redwood City,2599
21/02/2020,Drone Kits,BYOD-400S,12995,2,bcumberpatchjr@auda.org.au#mailto:bcumberpatchjr@auda.org.au#,Birmingham,2599
31/01/2020,Robot Kits,BYOR-1000,189,2,cshentonl8@java.com#mailto:cshentonl8@java.com#,Cumming,378
01/03/2020,Robot Kits,BYOR-1500,189,2,ecleworthcq@hp.com#mailto:ecleworthcq@hp.com#,Columbus,378
08/03/2020,Robot Kits,BYOR-1500,189,2,rbalogiw@arstechnica.com#mailto:rbalogiw@arstechnica.com#,Birmingham,378
02/01/2020,Robot Kits,BYOR-3000,214,2,croylede@dot.gov#mailto:croylede@dot.gov#,Virginia Beach,428
21/01/2020,Robot Kits,BYOR-3535,225,2,salbrightonbf@paginegialle.it#mailto:salbrightonbf@paginegialle.it#,Washington,450
